stato,data,numero,tipo,luogo,perchè,oggetto,link
Ordinanza Pubblicata,06.11.2017,3407/2017,T,Tutte le circoscrizioni,Intervento: Lavoro stradale urgente,"Interventi urgenti alla rete idrica in varie vie del territorio comunale, eseguiti dalla ditta Publinord Scarl per conto di Publiacqua S.p.A.",http://www.comune.prato.it/servizicomunali/ordinanze/trasporti/archivio/2017/htm/3126.htm
Ordinanza Pubblicata,09.11.2017,3406/2017,T,Circoscrizione Ovest,Intervento: Lavoro edile,Piattaforma aerea in Piazzale del Palazzetto.,http://www.comune.prato.it/servizicomunali/ordinanze/trasporti/archivio/2017/htm/3129.htm
